word,frequency
String,1597
protobuf,1018
com,847
google,845
java,592
org,466
whispersystems,466
bitField0_,457
e,454
account,405
Builder,396
Optional,326
io,324
get,324
IOException,302
textsecuregcm,293
name,277
ByteString,272
value,269
MessageProtos,250
entities,246
device,241
lang,239
input,238
message,228
messages,227
number,215
List,202
SubProtocol,194
metricRegistry,187
Account,187
result,184
logger,183
websocket,176
parseFrom,171
source,165
other,164
extensionRegistry,163
length,162
i,160
ref,160
size,152
uuid,151
destination,144
bytes,143
Timer,142
key,139
config,136
PARSER,133
UUID,132
build,128
Type,120
isPresent,116
onChanged,113
jedis,111
database,110
data,109
getNumber,107
b,105
timer,105
options,104
Object,102
GeneratedMessage,100
InvalidProtocolBufferException,99
ServerCertificate,97
handle,97
Response,96
Envelope,95
newBuilder,93
s,90
meter,90
Base64,90
deviceId,89
mergeFrom,89
accountsManager,89
Exception,89
offset,88
warn,87
bind,85
Certificate,85
unknownFields,83
cacheClient,82
jdbi,82
PubSubMessage,82
Device,81
WebSocketResponseMessage,81
System,80
ExtensionRegistryLite,80
environment,79
json,79
T,77
rateLimiters,77
jedisPool,77
WebSocketMessage,76
getDefaultInstance,76
request,76
Meter,76
response,76
WebSocketRequestMessage,75
getBytes,75
Context,74
headers_,74
SenderCertificate,73
Descriptors,73
builder,71
encoded,71
equals,70
time,70
close,70
Map,68
mark,67
username,67
id,65
RateLimiter,65
code,64
len,63
Util,63
status,63
RateLimitConfiguration,63
accounts,62
output,62
getId,62
empty,61
InputStream,61
isInitialized,60
getType,57
ReplicatedJedisPool,57
NullPointerException,57
buffer,57
AccountsManager,57
to_bitField0_,56
MediaType,56
out,55
register,55
Long,55
mapper,54
Logger,54
remove,54
APPLICATION_JSON,53
LoggerFactory,53
getLogger,53
Jedis,53
timestamp,52
storage,52
PubSubProtos,51
of,51
ignored,51
defaultInstance,50
UnknownFieldSet,50
parsedMessage,50
CodedInputStream,50
getUnknownFields,50
getUuid,49
currentTimeMillis,49
append,48
CodedOutputStream,48
Status,48
isEmpty,48
context,48
MetricRegistry,48
put,48
token,47
from_bitField0_,46
getDescriptor,46
off,46
clear,46
update,46
destOffset,46
ex,45
WebApplicationException,45
pubSubManager,45
execute,43
keys,43
create,43
channel,43
publicKey,43
jersey,43
baos,42
pushSender,42
destinationDevice,42
position,42
getName,42
ProvisioningUuid,42
toString,41
METRICS_NAME,41
EMPTY,41
Constants,41
header,41
done,40
Descriptor,40
FieldAccessorTable,40
SharedMetricRegistries,40
parent,40
WebsocketEvent,40
messagesManager,40
parseDelimitedFrom,40
getClass,40
TimeUnit,40
directoryQueue,39
index,39
toByteArray,39
getOrCreate,39
verificationCode,39
id_,39
add,39
client,39
type_,39
executor,38
outBuff,38
signature,38
srcOffset,38
getMessage,38
fromUuid,38
type,37
address,36
buildPartial,36
accessKey,36
IllegalArgumentException,36
write,36
format,35
now,35
devices,35
resultSet,35
FaultTolerantDatabase,35
parts,35
lineLength,34
Messages,34
isEnabled,34
registrationId,34
StoredVerificationCode,34
bucket,33
RateLimitExceededException,33
body,33
mac,32
encode,32
valueOf,32
validate,32
event,32
getWriteResource,32
set,32
decode,31
accountProfile,31
OutputStream,31
configuration,31
version,31
namespace,31
memoizedIsInitialized,30
maybeForceBuilderInitialization,30
getAuthenticatedDevice,30
getSerializedSize,30
b4,30
bs,30
memoizedSerializedSize,30
Integer,30
OutgoingMessageEntity,30
serialize,30
initFields,30
tag,30
second,29
args,29
LinkedList,29
Pair,29
bucketSize,29
encodeBytes,29
path,28
ObjectMapper,28
info,28
region,28
Arrays,28
credentials,28
guid,28
signedPreKey,28
read,28
run,28
AssertionError,28
credential,28
InvalidKeyException,27
start,27
Key,27
LuaScript,27
inputStream,27
policy,26
signature_,26
retry,26
relay,26
content_,26
certificate_,26
serialized,26
signer_,26
envelope,26
charAt,26
writeNumberField,26
request_,26
buf,26
response_,26
body_,26
object,25
getContent,25
ByteArrayOutputStream,25
ClientContact,25
avatar,25
util,25
first,25
Class,25
hashCode,24
snapshot,24
stop,24
password,24
count,24
sendMessage,24
registrationLock,24
getBody,24
results,24
requestMessage,24
DECODABET,24
MessagesManager,24
RateLimiters,24
Accounts,23
map,23
keyId,23
circuitBreaker,23
lastSeen,23
writeBytes,23
readBytes,23
numSigBytes,22
apnSender,22
profile,22
use,22
apnFallbackManager,22
UID,22
that,22
reply,22
host,22
canonicalRequest,22
signalingKey,22
getTimestamp,22
future,22
getDeviceId,22
privateKey,22
getBucketSize,21
arraycopy,21
orElse,21
getLeakRatePerMinute,21
toMillis,21
VersionedProfile,21
HttpClient,21
getString,21
with,21
online,21
chunkAccounts,21
WebSocketSessionContext,21
FileDescriptor,21
getStatus,21
computeBytesSize,21
SecureRandom,20
headers,20
senderUuid_,20
UNKNOWN,20
uuid_,20
PushSender,20
message_,20
Parser,20
path_,20
identityKey,20
usernames,20
relay_,20
internalGetFieldAccessorTable,20
accountAttributes,20
writeReplace,20
getDefaultInstanceForType,20
requestAccount,20
random,20
setUnfinishedMessage,20
inBuff,20
NO_OPTIONS,20
parsePartialFrom,20
success,20
encode3to4,20
verb_,20
BuilderParent,20
useHandle,20
SignedPreKey,20
bufferLength,20
copyFromUtf8,20
file,20
ALPHABET,20
storedVerificationCode,20
directory,20
writeTo,20
prototype,20
using,20
sender_,20
responseBuilder_,20
toStringUtf8,20
serverGuid_,20
source_,20
pendingAccounts,20
split,20
signerBuilder_,20
sourceUuid_,20
requestBuilder_,20
ensureFieldAccessorsInitialized,20
newBuilderForType,20
pipeline,19
DirectoryQueue,19
createQuery,19
user,19
receiptSender,19
mapTo,19
clazz,19
locale,19
messageFactory,19
apnId,19
DispatchChannel,19
subparser,19
error,19
MessagesCache,19
filter,19
breakLines,18
Set,18
bais,18
createUpdate,18
webSocketEnvironment,18
gzos,18
objectMapper,18
Message,18
JsonProcessingException,18
HashMap,18
getInstance,18
WebsocketAddress,18
configure,18
identifier,18
session,18
PubSubManager,18
getSignature,18
getIdentityKey,18
b64os,18
reason,18
ofNullable,18
Math,18
ApnFallbackManager,18
ApnResult,18
migrations,18
voice,17
capabilities,17
setType,17
running,17
getGcmId,17
