word,frequency
value,431
T,316
in,242
String,232
K,227
IOException,222
V,221
out,194
i,185
TypeAdapter,185
type,175
Node,162
Type,157
Class,151
p,149
e,145
Object,144
result,139
node,134
length,111
c,105
add,102
write,99
JsonToken,99
right,96
JsonWriter,95
get,94
pos,92
left,90
peek,88
TypeAdapterFactory,84
stackSize,82
JsonElement,82
key,81
read,80
rawType,77
size,75
JsonReader,75
TypeToken,71
factories,69
typeAdapter,66
gson,65
equals,63
stack,61
IllegalStateException,60
Number,60
parent,59
height,59
append,58
peeked,58
name,57
context,57
toString,55
root,54
offset,54
buffer,53
next,51
PEEKED_NONE,50
DateFormat,49
TypeAdapters,49
o,48
JsonSyntaxException,48
writer,48
elements,48
reader,46
JsonPrimitive,46
Date,45
typeToken,44
ParameterizedType,43
getRawType,41
NULL,40
Gson,38
date,38
nextNull,38
last,37
Entry,37
Map,37
field,36
newFactory,34
excluder,34
json,34
isAssignableFrom,34
pathIndices,34
hashCode,33
limit,33
header,33
nextString,32
getName,32
getClass,32
JsonScope,32
a,31
JsonIOException,31
element,30
ObjectConstructor,30
AssertionError,30
src,30
constructorConstructor,30
array,30
annotation,29
other,29
dateStyle,29
serialize,29
List,29
toResolve,29
Locale,29
create,29
clazz,29
f,28
JsonNull,28
lenient,28
GsonBuilder,28
prev,28
pivot,28
timeStyle,28
NumberFormatException,28
componentType,28
nearest,28
Calendar,28
WildcardType,27
b,27
StringBuilder,27
delegate,27
constructor,27
GenericArrayType,27
Boolean,26
Excluder,26
JsonArray,26
locationString,26
Double,26
token,26
from,26
DEFAULT,25
$Gson$Types,24
put,24
JsonObject,24
nullValue,24
E,23
dateFormats,23
peekStack,23
instance,23
object,22
child,22
TypeVariable,22
INSTANCE,22
peekedString,22
UnsupportedOperationException,22
serializeNulls,22
calendar,22
dateType,22
beginArray,21
datePattern,21
Field,21
entry,21
endArray,21
msg,21
ArrayList,20
list,20
comparator,20
formatted,20
created,20
contextRawType,20
set,20
toJson,20
primitive,20
IllegalArgumentException,19
t,19
remove,19
Long,19
getAsNumber,19
construct,19
pivotLeft,18
typeArguments,18
pivotRight,18
Math,18
stackTop,18
getType,18
hasNext,18
Character,18
replacement,18
isEmpty,17
charAt,17
newInstance,17
builder,17
string,17
instanceCreators,17
fromJson,17
Iterator,17
Integer,17
