word,frequency
String,1489
IOException,668
e,487
File,363
i,309
T,284
p,276
List,260
LOGGER,254
Jenkins,253
s,245
f,238
get,232
name,226
out,208
InterruptedException,205
append,203
buf,175
getName,166
c,163
log,161
PluginWrapper,157
r,155
FilePath,152
length,150
add,150
Messages,149
Object,144
in,142
plugin,137
channel,135
Class,134
Level,131
run,130
args,129
Exception,121
OutputStream,120
d,110
toString,110
listener,110
InputStream,109
url,107
target,107
b,102
Util,99
Map,98
archive,98
value,98
t,97
o,94
Logger,92
jenkins,91
build,90
cmd,87
x,85
req,85
URL,84
equals,84
NoExternalUse,83
put,83
size,82
Descriptor,82
WARNING,82
ArrayList,81
file,81
result,78
workDir,78
type,78
path,77
start,76
CLICommand,75
dir,74
serialVersionUID,72
stdout,72
shortName,72
usage,71
text,70
env,70
stderr,70
base,69
m,68
v,67
VirtualChannel,67
ExtensionComponent,67
ch,67
StringBuilder,67
getLogger,67
println,66
con,65
item,65
substring,63
idx,63
key,63
System,62
getClass,59
job,59
remote,57
filter,57
n,56
Thread,56
act,56
Collection,55
TaskListener,55
classLoader,55
Set,54
close,54
invoke,54
plugins,53
checkPermission,53
all,53
Collections,53
context,52
ps,51
noFollowLinks,50
format,50
len,49
SecureFileCallable,49
index,49
message,49
Run,48
Void,48
AbstractBuild,48
Integer,48
EnvVars,48
prefix,48
a,47
getShortDescription,47
getShortName,46
stdin,46
FormValidation,46
charAt,46
Launcher,46
getValue,45
FINE,45
verificationRoot,44
pos,44
required,43
exists,43
end,43
parent,43
dependency,43
write,43
cause,43
PluginManager,43
launch,43
instance,42
Throwable,41
getPlugin,41
j,40
project,40
compression,40
Files,40
data,40
remove,40
w,39
version,39
hudson,39
manifest,39
JSONObject,39
IllegalArgumentException,39
scanner,38
os,38
dependencies,37
metaVar,37
VersionNumber,37
contains,37
ExtensionList,37
indexOf,37
Plugin,37
Path,37
Dependency,37
h,36
source,36
workspace,36
RepositoryBrowser,36
error,35
mode,35
SystemProperties,34
ProcStarter,34
fileToPath,34
HashSet,34
Entry,34
suffix,34
UpdateSite,34
AbstractProject,34
ChangeLogSet,33
err,33
Proc,33
IOUtils,33
launcher,32
PluginDisableResult,32
list,32
read,32
view,32
auth,32
isEmpty,31
getInstance,31
factory,31
pluginName,30
map,30
StaplerRequest,30
SCM,30
callable,29
ClassLoader,29
getDisplayName,29
mask,28
port,28
msg,27
tokens,27
warning,27
getMessage,27
home,27
Pattern,27
extensions,27
join,27
startsWith,27
Stapler,26
stream,26
ServletException,26
command,26
userName,26
head,26
Item,26
IndexItem,26
description,26
toPath,26
encoding,25
strategy,25
ex,25
op,25
pw,25
sb,25
_token,25
getCurrentRequest,25
g,24
errorOccurred,24
ordinal,24
Functions,24
getVersion,24
ADMINISTER,24
hs,24
entry,24
IllegalStateException,24
masks,24
fileName,24
rootDir,24
wrapper,24
mkdirs,24
pluginInfo,24
AbortException,23
isActive,23
fileMask,23
noProxyHost,23
Op,23
uc,23
toInstall,23
send,23
PrintStream,23
clazz,23
group,23
endsWith,23
UpdateCenter,23
SCMRevisionState,23
l,22
node_s,22
load,22
connection,22
copy,22
addAll,22
trim,22
Pipe,22
permissions,22
response,22
pipe,21
Job,21
justification,21
timestamp,21
ti,21
Arrays,21
escape,21
HttpURLConnection,21
ProxyConfiguration,21
values,21
DirScanner,21
lookup,21
pattern,21
Channel,21
Hudson,21
getInputStream,21
V,20
AccessControlled,20
activePlugins,20
Boolean,20
proc,20
StringUtils,20
dis,20
permission,20
changelogFile,20
id,20
getMainAttributes,20
node,20
reading,20
child,20
find,20
rsp,20
call,20
kill,20
quiet,19
Computer,19
includes,19
getBoolean,19
Tag,19
SEVERE,19
cl,19
that,19
pb,19
password,19
session,19
fine,19
Permission,19
number,19
getKey,19
jsonObject,19
pluginManager,19
resolve,18
getUpdateCenter,18
DoNotUse,18
writing,18
annotation,18
Extension,18
dynamicLoad,18
replace,18
envs,18
socket,18
getPluginManager,18
lastModified,18
Manifest,18
arc,18
getParentFile,18
SCMDescriptor,18
isAlive,18
U,17
oneResult,17
dst,17
paths,17
ClassNotFoundException,17
extensionType,17
ArchiverFactory,17
user,17
isUnix,17
authorization,17
ok,17
iterator,17
modelEnvVars,17
pwd,17
caseSensitive,17
delete,17
jobs,17
Locale,17
D,16
duration,16
LocalProc,16
TarCompression,16
RuntimeException,16
Secret,16
excludes,16
inner,16
fs,16
it,16
storage,16
old,16
View,16
PollingResult,16
subList,16
process,16
commands,16
DataInputStream,16
rel,16
anc,16
atts,16
getOutputStream,16
SubText,16
cycle,16
split,16
originThread,16
fixNull,16
Node,15
getParent,15
className,15
Ancestor,15
status,15
bytes,15
StandardCharsets,15
extType,15
isOverridden,15
dependents,15
UTF_8,15
testUrl,15
config,15
ds,15
io,15
is,15
HttpResponse,15
overrides,15
HashMap,15
names,15
getClassLoader,15
errorMsg,15
Authentication,15
clear,15
Method,15
PlainCLIProtocol,15
zip,15
CopyOnWriteArrayList,15
scm,15
client,15
delta,15
current,15
token,15
object,14
requestedPlugin,14
parseInt,14
computer,14
record,14
ByteArrayOutputStream,14
chunk,14
compareTo,14
proxy,14
off,14
pm,14
starter,14
loaded,14
capacity,14
create,14
envVarsFilterRuleWrapper,14
optional,14
getChannel,14
optionalDependencies,14
host,14
results,14
getProperty,14
INFO,14
baseline,14
files,14
printStackTrace,13
cis,13
XmlFile,13
reverseStdout,13
GeneralSecurityException,13
newInputStream,13
attains,13
ProcessBuilder,13
Future,13
disableFile,13
annotationType,13
newInstance,13
stdoutListener,13
startPos,13
entrySet,13
Mode,13
endPos,13
org,13
RemoteInputStream,13
Serializable,13
toArray,13
request,13
hasPermission,13
Charset,13
launchChannel,13
KeyPair,13
describableType,13
exit,13
printUsage,13
collect,13
AssertionError,13
set,13
side,13
uberClassLoader,13
flush,13
HttpResponses,13
DetachedPluginsUtil,13
E,12
root,12
ExtensionPoint,12
Iterable,12
refereeSetMap,12
getUrl,12
Date,12
dep,12
reverseStderr,12
CLI,12
uri,12
Error,12
outer,12
QuotedStringTokenizer,12
returnCode,12
secretPassword,12
asList,12
Enumeration,12
getString,12
ig,12
fileMasks,12
