word,frequency
T,896
Object,872
Class,611
String,539
type,374
invocation,347
mock,308
List,275
value,255
field,235
Invocation,234
Throwable,232
i,218
MockitoException,216
e,215
wanted,195
answer,183
target,156
append,155
settings,153
mocks,144
getName,142
method,140
Answer,134
arguments,132
join,129
get,129
invocations,128
getClass,124
VerificationMode,120
message,118
length,117
Field,114
lhs,113
add,111
reportMatcher,105
matcher,105
clazz,105
toString,104
instance,103
MockCreationSettings,103
mockingProgress,102
rhs,95
ArgumentMatcher,93
Method,91
equals,89
actual,87
Type,86
Set,85
data,77
A,74
getSimpleName,73
name,72
getMethod,71
put,70
Serializable,68
constructor,68
filter,67
t,65
listener,65
strictness,64
source,63
getType,63
throwable,62
invoke,62
classToMock,60
delegate,60
MockHandler,59
handler,59
size,58
mode,58
Map,58
InvocationOnMock,58
newInstance,56
matchers,56
wantedCount,55
logger,55
serialVersionUID,55
Strictness,55
mockSettings,55
Collection,54
isEmpty,54
stubbing,54
LinkedList,53
out,53
Exception,53
result,52
getArgument,51
mockedType,51
verify,51
B,50
interceptors,50
features,50
iterator,50
V,48
Location,48
MockedConstruction,48
MockSettings,48
object,47
InvocationTargetException,47
Stubbing,47
getMock,45
o,44
accessor,44
set,44
key,44
extraInterfaces,43
identifier,43
Mockito,43
ArrayList,42
MockUtil,42
testClass,42
matches,42
isEquals,42
location,42
StringBuilder,41
InstantiationException,41
OngoingStubbing,41
Opcodes,41
MatchableInvocation,41
toBeThrown,41
getLocation,40
C,40
K,40
Stubber,40
defaultAnswer,40
next,40
description,40
context,40
remove,39
TypeVariable,39
className,39
MockMethodInterceptor,39
Plugins,39
s,37
args,37
getInvocation,37
IllegalAccessException,37
sb,37
loader,37
types,37
parameterTypes,36
hashCode,36
getModifiers,36
verificationMode,36
Modifier,36
origin,36
getArgumentMatcherStorage,36
typeToMock,35
actualCount,35
listeners,35
MOCKITO_CORE,35
returnType,35
unused,35
Constructor,35
cls,34
index,34
Arrays,33
m,33
klass,33
runner,33
StackTraceElement,32
MemberAccessor,32
fields,32
getModule,32
classLoader,32
event,31
annotation,31
fieldOwner,31
Collections,31
BDDStubber,31
D,30
IllegalStateException,30
Context,30
typeVariable,30
getParameterTypes,29
rawType,29
MockitoAssertionError,29
getReturnType,29
GenericMetadataSupport,29
testInstance,28
LocationImpl,28
CreationSettings,28
RuntimeException,28
contains,28
System,28
Integer,28
InvocationMatcher,28
getMockSettings,27
clear,27
first,27
other,27
forName,27
getTypeToMock,27
control,27
toBeReturned,27
DescribedInvocation,26
methodName,26
print,26
answers,26
doThrow,26
Void,26
invocationContainer,26
dispatcher,26
serializableMode,26
EqualsBuilder,25
stubber,25
constructorArgs,25
realMethod,25
Iterator,25
handle,25
ClassLoader,25
getDeclaringClass,25
InstanceField,25
allInvocations,25
inOrder,25
candidate,25
MockitoLogger,25
getMessage,25
RealMethod,24
toAnswer,24
pluginSwitch,24
spiedInstance,24
A0,24
mockName,24
reset,24
argument,24
line,24
cause,23
DISPATCHER,23
getClassLoader,23
values,23
apply,23
notifier,23
ParameterizedType,23
close,23
Filter,23
MockMethodDispatcher,23
stubbings,23
getMemberAccessor,23
Thread,23
Boolean,22
HashSet,22
getMockName,22
VerificationModeFactory,22
mockInitializer,22
interfaces,22
InOrderContext,22
SerializableMode,22
getInvocationContainer,22
mockMaker,22
f,21
