word_length,occurrences
75,8
72,1
70,5
69,4
67,13
66,1
65,1
64,2
63,8
62,15
61,11
60,3
59,9
58,3
57,6
56,3
55,17
54,23
53,6
52,4
51,11
50,20
49,8
48,25
47,35
46,30
45,61
44,47
43,47
42,119
41,87
40,108
39,136
38,132
37,158
36,207
35,323
34,363
33,387
32,630
31,607
30,1059
29,1246
28,1649
27,1684
26,2216
25,2761
24,3904
23,4478
22,5662
21,8080
20,8731
19,9593
18,12952
17,15214
16,23948
15,21375
14,25708
13,27938
12,27581
11,39903
10,75978
9,53473
8,54134
7,53504
6,82771
5,53302
4,57012
3,38419
2,16148
1,60828
