rank,word,count
5,of,23159162
15,do,8186412
25,they,4503650
35,she,3188078
45,about,2427703
55,there,1980173
65,him,1717209
75,could,1529795
85,no,1206112
95,man,1091176
105,very,963552
115,work,854095
125,call,768117
135,in,726590
145,as,662376
155,help,606887
165,every,567233
175,yes,537066
185,its,511922
195,hand,481332
205,about,462995
215,without,438567
225,story,432184
235,begin,421878
245,fact,399574
255,maybe,374325
265,issue,362137
275,though,352608
285,best,348202
295,both,338454
305,much,329230
315,four,319834
325,car,313437
335,back,302390
345,member,292596
355,whether,280973
365,stay,275504
375,die,264537
385,office,258157
395,grow,248803
405,second,243485
415,low,237027
425,whole,233110
435,hard,228234
445,police,219041
455,break,213364
465,listen,208819
475,full,204252
485,local,200668
495,value,195639
505,explain,193276
515,movie,190773
525,difference,185310
535,effort,181751
545,because,178859
555,need,175440
565,situation,171026
575,share,168892
585,simply,166556
595,open,163231
605,save,161469
615,guess,159454
625,election,156532
635,certain,154059
645,available,151406
655,current,148387
665,list,146495
675,fire,144750
685,author,142352
695,note,139111
705,nearly,138034
715,top,136658
725,worker,135244
735,race,133182
745,poor,131105
755,enjoy,129575
765,defense,127924
775,century,126668
785,animal,124835
795,mile,122899
805,compare,120978
815,sister,120346
825,thus,118653
835,candidate,116347
845,somebody,115363
855,meeting,114209
865,imagine,112572
875,disease,111433
885,apply,110328
895,rise,109035
905,set,106920
915,method,105544
925,shit,104498
935,interview,103566
945,blue,102172
955,environment,101479
965,river,100270
975,bit,99520
985,absolutely,98574
995,trouble,97439
1005,seat,96853
1015,necessary,95580
1025,democratic,94862
1035,address,94155
1045,management,93289
1055,tomorrow,92490
1065,stick,91597
1075,discover,90959
1085,user,90342
1095,inside,89494
1105,nor,88431
1115,through,87238
1125,mouth,86406
1135,travel,85441
1145,photograph,84476
1155,touch,83871
1165,suffer,82579
1175,heat,82112
1185,judge,81312
1195,fall,80585
1205,internet,80144
1215,element,79440
1225,wind,78623
1235,just,78214
1245,interested,77632
1255,researcher,76737
1265,capital,76018
1275,hill,75365
1285,basic,74208
1295,engage,73493
1305,smile,73137
1315,contract,72568
1325,apple,72273
1335,sales,71601
1345,lake,70940
1355,gain,70275
1365,location,69669
1375,otherwise,69243
1385,highly,68586
1395,cry,68161
1405,associate,67750
1415,connection,67550
1425,smart,67232
1435,ride,66723
1445,presence,66412
1455,crowd,65965
1465,border,65422
1475,website,64875
1485,relation,64199
1495,volume,63626
1505,extra,63392
1515,hire,62794
1525,forest,61942
1535,focus,61392
1545,advice,60861
1555,enemy,60473
1565,female,60116
1575,glad,59681
1585,kick,59307
1595,actor,58856
1605,topic,58410
1615,session,58108
1625,wine,57614
1635,youth,57132
1645,extend,56458
1655,surprise,56116
1665,slightly,55389
1675,lift,54954
1685,excuse,54672
1695,desire,54265
1705,anywhere,53945
1715,grand,53325
1725,angry,52980
1735,struggle,52598
1745,neck,52214
1755,generate,51796
1765,literature,51523
1775,capture,51215
1785,studio,50758
1795,circle,50510
1805,colleague,50084
1815,works,49867
1825,comfortable,49532
1835,teaching,49167
1845,live,48836
1855,zone,48403
1865,minority,48052
1875,gender,47825
1885,domestic,47518
1895,percentage,47208
1905,request,46865
1915,fee,46768
1925,tooth,46405
1935,self,46225
1945,chapter,45911
1955,shift,45537
1965,convention,45389
1975,scream,45103
1985,extent,44804
1995,accuse,44491
2005,farmer,44255
2015,contribution,43738
2025,question,43506
2035,era,43331
2045,expose,43119
2055,guide,42871
2065,escape,42473
2075,eliminate,42246
2085,pretty,41937
2095,muscle,41650
2105,far,41427
2115,cycle,41088
2125,judgment,40961
2135,lie,40794
2145,hand,40469
2155,fast,40261
2165,basketball,40007
2175,quote,39780
2185,immigration,39570
2195,separate,39416
2205,flow,39098
2215,technical,38887
2225,mark,38593
2235,soil,38159
2245,selection,37940
2255,resolution,37841
2265,dude,37467
2275,slow,37312
2285,essentially,37053
2295,offense,36790
2305,fairly,36548
2315,pregnant,36303
2325,deficit,36029
2335,philosophy,35824
2345,prosecutor,35613
2355,knife,35408
2365,housing,35224
2375,pop,34932
2385,publication,34656
2395,beneath,34337
2405,pepper,34195
2415,accomplish,33992
2425,consist,33777
2435,engineering,33630
2445,jail,33453
2455,brief,33229
2465,shout,33053
2475,avenue,32968
2485,scholar,32846
2495,illness,32704
2505,awesome,32423
2515,designer,32303
2525,retire,32169
2535,incredible,31983
2545,rarely,31748
2555,giant,31557
2565,stream,31393
2575,twitter,31238
2585,accurate,31068
2595,pay,30935
2605,another,30791
2615,potentially,30671
2625,slide,30451
2635,rather,30233
2645,reputation,29988
2655,giant,29852
2665,fishing,29682
2675,stranger,29572
2685,rape,29477
2695,negotiation,29385
2705,sequence,29257
2715,weigh,29121
2725,electronic,29064
2735,impression,28975
2745,visible,28886
2755,restore,28777
2765,sauce,28639
2775,detect,28574
2785,apologize,28462
2795,airline,28327
2805,cent,28231
2815,grandmother,28091
2825,manufacturer,27966
2835,roll,27831
2845,terrorist,27765
2855,violate,27630
2865,unlikely,27546
2875,idiot,27432
2885,stadium,27233
2895,mix,27117
2905,incorporate,26974
2915,taste,26826
2925,possess,26713
2935,stake,26539
2945,developer,26466
2955,tiger,26334
2965,administrator,26195
2975,publisher,26079
2985,variation,25982
2995,tomato,25826
3005,contest,25761
3015,load,25620
3025,narrator,25554
3035,surprise,25449
3045,purchase,25302
3055,fate,25194
3065,surprising,25114
3075,adapt,24934
3085,random,24886
3095,smell,24783
3105,tourist,24638
3115,stable,24549
3125,update,24444
3135,friendship,24359
3145,humor,24213
3155,chemical,24096
3165,silly,24001
3175,lifestyle,23917
3185,crap,23756
3195,imagination,23622
3205,drawing,23549
3215,guide,23475
3225,segment,23372
3235,slight,23283
3245,can,23201
3255,sue,23083
3265,notice,22997
3275,canadian,22924
3285,pill,22802
3295,terrorist,22697
3305,decrease,22654
3315,dumb,22462
3325,furthermore,22381
3335,tactic,22260
3345,nerve,22174
3355,aircraft,22111
3365,duke,21989
3375,furniture,21915
3385,garage,21790
3395,allegation,21709
3405,fake,21560
3415,grant,21506
3425,patient,21374
3435,whoever,21251
3445,membership,21172
3455,makeup,21035
3465,mall,20944
3475,courage,20859
3485,mainstream,20766
3495,delay,20668
3505,communist,20597
3515,palestinian,20540
3525,till,20463
3535,function,20370
3545,soccer,20295
3555,uncomfortable,20224
3565,gospel,20013
3575,fabric,19948
3585,admire,19872
3595,hunter,19821
3605,virtual,19729
3615,athletic,19650
3625,sword,19580
3635,dose,19458
3645,grave,19407
3655,absorb,19353
3665,nominee,19303
3675,nail,19206
3685,resign,19131
3695,hardware,19041
3705,snake,18993
3715,depict,18922
3725,gradually,18850
3735,starting,18738
3745,rescue,18665
3755,praise,18574
3765,van,18497
3775,counsel,18429
3785,motive,18345
3795,chronic,18286
3805,cave,18219
3815,driving,18169
3825,tag,18076
3835,precious,18016
3845,agricultural,17939
3855,rape,17887
3865,powder,17830
3875,govern,17753
3885,butt,17681
3895,nonetheless,17584
3905,speed,17549
3915,civilian,17499
3925,compound,17435
3935,upstairs,17392
3945,tune,17352
3955,jeans,17273
3965,ranch,17219
3975,pitcher,17123
3985,behavioral,17052
3995,advertisement,16993
4005,blow,16948
4015,bitter,16881
4025,treasury,16827
4035,walking,16767
4045,greek,16725
4055,estimated,16657
4065,frame,16594
4075,republican,16513
4085,consent,16419
4095,banking,16356
4105,apology,16314
4115,inspector,16272
4125,convey,16221
4135,eating,16142
4145,custody,16070
4155,horn,16012
4165,liability,15952
4175,considering,15896
4185,retrieve,15830
4195,goodness,15790
4205,repair,15742
4215,slavery,15684
4225,seal,15632
4235,entrepreneur,15581
4245,unity,15519
4255,treasure,15484
4265,exploration,15421
