name,base,type,frequency
",",",","$,",500367688
.,.,$.,481370234
der,die,ART,241408360.2
die,die,ART,188943867.6
und,und,KON,186351587
"	",$(,156259594,
in,in,APPR,140040898
den,die,ART,90221588.77
),),$(,87781685
(,(,$(,86235023
:,:,$.,85783819
von,von,APPR,78788653.42
mit,mit,APPR,66879801.69
ist,sein,VAFIN,64833211
im,im,APPRART,62591891
für,für,APPR,56990511
des,die,ART,56555049.72
sich,er|es|sie,PRF,55471013
nicht,nicht,PTKNEG,52636895
Die,die,ART,51178010.84
auf,auf,APPR,51130589.91
dem,die,ART,48881102.85
das,die,ART,47893921.39
-,-,$(,46786952
ein,eine,ART,43463768.54
eine,eine,ART,41925427.38
auch,auch,ADV,41249942
zu,zu,PTKZU,41051385.58
es,es,PPER,39134200
als,als,KOKOM,32008477.37
er,er,PPER,29861001
am,am,APPRART,29072741.61
bei,bei,APPR,28388305.09
die,die,PRELS,28127976.33
Der,die,ART,28005481.93
an,an,APPR,27658381.53
hat,haben,VAFIN,26524019
sie,sie,PPER,26304664
aus,aus,APPR,25180038.95
sind,sein,VAFIN,24676418
wird,werden,VAFIN,24667244
nach,nach,APPR,24331651.59
dass,dass,KOUS,24004178
war,sein,VAFIN,22753539
zum,zum,APPRART,21446033
zu,zu,APPR,21134020.59
noch,noch,ADV,21036396.83
einer,eine,ART,20786224.07
einem,eine,ART,20520277.82
einen,eine,ART,19680377.02
über,über,APPR,19296975.32
wurde,werden,VAFIN,19178955
werden,werden,VAINF,18432868.84
so,so,ADV,18019864
nur,nur,ADV,17850054
oder,oder,KON,17102809
um,um,APPR,16903515.82
?,?,$.,16274719
zur,zur,APPRART,15951537
vor,vor,APPR,15614853.41
ich,ich,PPER,15498001
man,man,PIS,14478079
haben,haben,VAFIN,14244946.14
In,in,APPR,14197509.76
Sie,Sie|sie|sie,PPER,13780531
;,;,$.,13761529
wie,wie,KOKOM,13331122.25
Uhr,Uhr,NN,12978947.21
aber,aber,ADV,12888891.26
Das,die,ART,12830301.11
«,«,$(,12543403
durch,durch,APPR,12535420.19
»,»,$(,12402051
wir,wir,PPER,11845161
das,die,PDS,11598716.14
der,die,PRELS,11523468.69
kann,können,VMFIN,11274090
gegen,gegen,APPR,11213895
hatte,haben,VAFIN,11120750
unter,unter,APPR,11107110.35
vom,vom,APPRART,10941425
bis,bis,APPR,10939931.72
Es,es,PPER,10742280.43
/,/,$(,10654325
mehr,mehr,ADV,9818336.194
schon,schon,ADV,9779935.899
wieder,wieder,ADV,9726585.991
werden,werden,VAFIN,9667735.748
Ich,ich,PPER,9563517
Das,die,PDS,9539361.166
Im,im,APPRART,9429679
dann,dann,ADV,9131011
habe,haben,VAFIN,9129400.138
sei,sein,VAFIN,9118429.904
wenn,wenn,KOUS,8980428
!,!,$.,8928412
Jahr,Jahr,NN,8802712
zwei,zwei,CARD,8722458
Jahren,Jahr,NN,8633696
seine,sein,PPOSAT,8466696.284
sein,sein,VAINF,8258943.51
gibt,geben,VVFIN,7991758
ihre,ihr,PPOSAT,7896467.464
Er,er,PPER,7832045
immer,immer,ADV,7588329
beim,beim,APPRART,7579013
Ein,eine,ART,7554903.975
Und,und,KON,7526469
{,unknown,NE,7514378.599
dieser,diese,PDAT,7335127.53
wie,wie,KOUS,7299012.016
wurden,werden,VAFIN,7282755
keine,keine,PIAT,7226990.237
soll,sollen,VMFIN,7176619
Jahre,Jahr,NN,7134079
seiner,sein,PPOSAT,7129037.931
Mit,mit,APPR,6972773.567
waren,sein,VAFIN,6937298
diese,diese,PDAT,6792997.062
},unknown,NE,6791350.173
Wir,wir,PPER,6741280
Prozent,Prozent,NN,6697161
bis,bis,KON,6582061.168
daß,daß,KOUS,6573892
eines,eine,ART,6421669.654
um,um,KOUI,6323699.878
das,die,PRELS,6288055.69
sehr,sehr,ADV,6280733
Euro,Euro,NN,6247417
Nach,nach,APPR,6243625.663
Auch,auch,ADV,6230064
drei,drei,CARD,6215565
',',$(,6206597
seit,seit,APPR,6132770.165
diesem,diese,PDAT,6130313.062
hier,hier,ADV,6065563.813
will,wollen,VMFIN,6060526
zwischen,zwischen,APPR,6057825.219
an,an,PTKVZ,5907359.26
[,[,$(,5867524
ersten,erst,ADJA,5831829
Zeit,Zeit,NN,5784345.297
sagte,sagen,VVFIN,5777655
