name,length,count,frequency,rank,rank_bin,wordCount
e,1,4672,1.0,1.0,"(0.0, 1.0]",1
get,3,3218,0.6887842465753424,2.0,"(1.0, 10.0]",1
name,4,3118,0.6673801369863014,3.0,"(1.0, 10.0]",1
value,5,2611,0.558861301369863,4.0,"(1.0, 10.0]",1
i,1,2572,0.550513698630137,5.0,"(1.0, 10.0]",1
add,3,1918,0.4105308219178082,6.0,"(1.0, 10.0]",1
type,4,1870,0.4002568493150685,7.0,"(1.0, 10.0]",1
getName,7,1685,0.3606592465753425,8.0,"(1.0, 10.0]",2
LOGGER,6,1542,0.3300513698630137,9.0,"(1.0, 10.0]",1
log,3,1518,0.3249143835616438,10.0,"(1.0, 10.0]",1
length,6,1456,0.3116438356164384,11.0,"(10.0, 100.0]",1
r,1,1422,0.3043664383561644,12.0,"(10.0, 100.0]",1
result,6,1395,0.2985873287671233,13.0,"(10.0, 100.0]",1
options,7,1345,0.2878852739726027,14.0,"(10.0, 100.0]",1
p,1,1324,0.2833904109589041,15.0,"(10.0, 100.0]",1
equals,6,1250,0.2675513698630137,16.0,"(10.0, 100.0]",1
req,3,1215,0.2600599315068493,17.0,"(10.0, 100.0]",1
key,3,1211,0.2592037671232877,18.0,"(10.0, 100.0]",1
append,6,1203,0.2574914383561644,19.0,"(10.0, 100.0]",1
c,1,1195,0.2557791095890411,20.0,"(10.0, 100.0]",1
Jenkins,7,1109,0.23737157534246575,21.0,"(10.0, 100.0]",1
size,4,1063,0.22752568493150685,22.0,"(10.0, 100.0]",1
item,4,992,0.21232876712328766,23.0,"(10.0, 100.0]",1
context,7,986,0.2110445205479452,24.0,"(10.0, 100.0]",1
json,4,962,0.20590753424657535,25.0,"(10.0, 100.0]",1
put,3,932,0.199486301369863,26.0,"(10.0, 100.0]",1
Level,5,925,0.19798801369863014,27.0,"(10.0, 100.0]",1
s,1,917,0.19627568493150685,28.0,"(10.0, 100.0]",1
f,1,899,0.19242294520547945,29.0,"(10.0, 100.0]",1
t,1,885,0.1894263698630137,30.0,"(10.0, 100.0]",1
message,7,846,0.18107876712328766,31.0,"(10.0, 100.0]",1
out,3,843,0.18043664383561644,32.0,"(10.0, 100.0]",1
Messages,8,803,0.171875,33.0,"(10.0, 100.0]",1
listener,8,797,0.17059075342465754,34.0,"(10.0, 100.0]",1
build,5,773,0.16545376712328766,35.0,"(10.0, 100.0]",1
x,1,771,0.16502568493150685,36.0,"(10.0, 100.0]",1
id,2,759,0.1624571917808219,37.0,"(10.0, 100.0]",1
url,3,759,0.1624571917808219,38.0,"(10.0, 100.0]",1
getClass,8,755,0.16160102739726026,39.0,"(10.0, 100.0]",2
rsp,3,752,0.16095890410958905,40.0,"(10.0, 100.0]",1
o,1,749,0.1603167808219178,41.0,"(10.0, 100.0]",1
logger,6,731,0.1564640410958904,42.0,"(10.0, 100.0]",1
timeout,7,729,0.1560359589041096,43.0,"(10.0, 100.0]",1
method,6,719,0.1538955479452055,44.0,"(10.0, 100.0]",1
parent,6,712,0.1523972602739726,45.0,"(10.0, 100.0]",1
b,1,666,0.1425513698630137,46.0,"(10.0, 100.0]",1
node,4,643,0.13762842465753425,47.0,"(10.0, 100.0]",1
args,4,636,0.13613013698630136,48.0,"(10.0, 100.0]",1
builder,7,621,0.1329195205479452,49.0,"(10.0, 100.0]",1
in,2,620,0.1327054794520548,50.0,"(10.0, 100.0]",1
error,5,605,0.12949486301369864,51.0,"(10.0, 100.0]",1
data,4,599,0.12821061643835616,52.0,"(10.0, 100.0]",1
d,1,598,0.12799657534246575,53.0,"(10.0, 100.0]",1
params,6,588,0.12585616438356165,54.0,"(10.0, 100.0]",1
run,3,582,0.12457191780821918,55.0,"(10.0, 100.0]",1
getLogger,9,581,0.12435787671232877,56.0,"(10.0, 100.0]",2
a,1,579,0.12392979452054795,57.0,"(10.0, 100.0]",1
buf,3,564,0.12071917808219178,58.0,"(10.0, 100.0]",1
configuration,13,546,0.11686643835616438,59.0,"(10.0, 100.0]",1
n,1,541,0.11579623287671233,60.0,"(10.0, 100.0]",1
clazz,5,535,0.11451198630136987,61.0,"(10.0, 100.0]",1
System,6,533,0.11408390410958905,62.0,"(10.0, 100.0]",1
isEmpty,7,526,0.11258561643835617,63.0,"(10.0, 100.0]",2
handler,7,519,0.1110873287671233,64.0,"(10.0, 100.0]",1
selector,8,516,0.11044520547945205,65.0,"(10.0, 100.0]",1
Util,4,515,0.11023116438356165,66.0,"(10.0, 100.0]",1
properties,10,510,0.1091609589041096,67.0,"(10.0, 100.0]",1
call,4,508,0.10873287671232877,68.0,"(10.0, 100.0]",1
getInstance,11,500,0.10702054794520548,69.0,"(10.0, 100.0]",2
getValue,8,487,0.10423801369863013,70.0,"(10.0, 100.0]",2
start,5,482,0.10316780821917808,71.0,"(10.0, 100.0]",1
m,1,481,0.10295376712328767,72.0,"(10.0, 100.0]",1
path,4,479,0.10252568493150685,73.0,"(10.0, 100.0]",1
remove,6,476,0.10188356164383562,74.0,"(10.0, 100.0]",1
delegate,8,472,0.10102739726027397,75.0,"(10.0, 100.0]",1
request,7,470,0.10059931506849315,76.0,"(10.0, 100.0]",1
write,5,464,0.09931506849315068,77.0,"(10.0, 100.0]",1
all,3,463,0.09910102739726027,78.0,"(10.0, 100.0]",1
source,6,459,0.09824486301369863,79.0,"(10.0, 100.0]",1
bitField0_,10,457,0.0978167808219178,80.0,"(10.0, 100.0]",3
set,3,453,0.09696061643835617,81.0,"(10.0, 100.0]",1
v,1,437,0.0935359589041096,82.0,"(10.0, 100.0]",1
target,6,436,0.09332191780821918,83.0,"(10.0, 100.0]",1
getDisplayName,14,435,0.09310787671232877,84.0,"(10.0, 100.0]",3
WARNING,7,422,0.09032534246575342,85.0,"(10.0, 100.0]",1
index,5,422,0.09032534246575342,86.0,"(10.0, 100.0]",1
values,6,420,0.0898972602739726,87.0,"(10.0, 100.0]",1
contains,8,420,0.0898972602739726,88.0,"(10.0, 100.0]",1
cause,5,418,0.08946917808219178,89.0,"(10.0, 100.0]",1
file,4,417,0.08925513698630137,90.0,"(10.0, 100.0]",1
field,5,415,0.08882705479452055,91.0,"(10.0, 100.0]",1
account,7,411,0.0879708904109589,92.0,"(10.0, 100.0]",1
close,5,389,0.08326198630136987,93.0,"(10.0, 100.0]",1
j,1,385,0.08240582191780822,94.0,"(10.0, 100.0]",1
response,8,369,0.07898116438356165,95.0,"(10.0, 100.0]",1
input,5,369,0.07898116438356165,96.0,"(10.0, 100.0]",1
CoreMessages,12,368,0.07876712328767123,97.0,"(10.0, 100.0]",2
Icon,4,366,0.0783390410958904,98.0,"(10.0, 100.0]",1
next,4,360,0.07705479452054795,99.0,"(10.0, 100.0]",1
icons,5,359,0.07684075342465753,100.0,"(10.0, 100.0]",1
l,1,359,0.07684075342465753,101.0,"(100.0, 1000.0]",1
base,4,359,0.07684075342465753,102.0,"(100.0, 1000.0]",1
list,4,355,0.0759845890410959,103.0,"(100.0, 1000.0]",1
addIcon,7,354,0.07577054794520548,104.0,"(100.0, 1000.0]",2
event,5,352,0.07534246575342465,105.0,"(100.0, 1000.0]",1
UIUtils,7,348,0.07448630136986302,106.0,"(100.0, 1000.0]",2
rs,2,348,0.07448630136986302,107.0,"(100.0, 1000.0]",1
getId,5,348,0.07448630136986302,108.0,"(100.0, 1000.0]",2
invocation,10,348,0.07448630136986302,109.0,"(100.0, 1000.0]",1
channel,7,346,0.0740582191780822,110.0,"(100.0, 1000.0]",1
instance,8,345,0.07384417808219178,111.0,"(100.0, 1000.0]",1
format,6,342,0.07320205479452055,112.0,"(100.0, 1000.0]",1
getString,9,340,0.07277397260273973,113.0,"(100.0, 1000.0]",2
number,6,339,0.07255993150684932,114.0,"(100.0, 1000.0]",1
entry,5,336,0.07191780821917808,115.0,"(100.0, 1000.0]",1
job,3,335,0.07170376712328767,116.0,"(100.0, 1000.0]",1
getMessage,10,323,0.06913527397260275,117.0,"(100.0, 1000.0]",2
metrics,7,321,0.06870719178082192,118.0,"(100.0, 1000.0]",1
filter,6,316,0.06763698630136987,119.0,"(100.0, 1000.0]",1
FINE,4,313,0.06699486301369863,120.0,"(100.0, 1000.0]",1
offset,6,309,0.06613869863013698,121.0,"(100.0, 1000.0]",1
mock,4,308,0.06592465753424658,122.0,"(100.0, 1000.0]",1
connection,10,306,0.06549657534246575,123.0,"(100.0, 1000.0]",1
hashCode,8,298,0.06378424657534247,124.0,"(100.0, 1000.0]",2
Logger,6,298,0.06378424657534247,125.0,"(100.0, 1000.0]",1
text,4,298,0.06378424657534247,126.0,"(100.0, 1000.0]",1
dataSource,10,298,0.06378424657534247,127.0,"(100.0, 1000.0]",2
object,6,295,0.06314212328767123,128.0,"(100.0, 1000.0]",1
clear,5,291,0.06228595890410959,129.0,"(100.0, 1000.0]",1
