name,length,count,frequency,rank,rank_bin,wordCount
String,6,15706,1.0,1.0,"(0.0, 1.0]",1
e,1,4672,0.2974659365847447,2.0,"(1.0, 10.0]",1
Object,6,3404,0.2167324589328919,3.0,"(1.0, 10.0]",1
T,1,3300,0.2101107856869986,4.0,"(1.0, 10.0]",1
IOException,11,3285,0.20915573666114862,5.0,"(1.0, 10.0]",2
get,3,3218,0.20488985101235196,6.0,"(1.0, 10.0]",1
name,4,3118,0.19852285750668533,7.0,"(1.0, 10.0]",1
List,4,2766,0.17611104036673883,8.0,"(1.0, 10.0]",1
value,5,2611,0.16624220043295557,9.0,"(1.0, 10.0]",1
i,1,2572,0.16375907296574557,10.0,"(1.0, 10.0]",1
Class,5,2194,0.13969183751432573,11.0,"(10.0, 100.0]",1
add,3,1918,0.12211893543868585,12.0,"(10.0, 100.0]",1
type,4,1871,0.11912644849102254,13.0,"(10.0, 100.0]",1
getName,7,1685,0.10728384057048262,14.0,"(10.0, 100.0]",2
LOGGER,6,1542,0.09817903985737934,15.0,"(10.0, 100.0]",1
log,3,1518,0.09665096141601935,16.0,"(10.0, 100.0]",1
length,6,1456,0.09270342544250605,17.0,"(10.0, 100.0]",1
r,1,1422,0.0905386476505794,18.0,"(10.0, 100.0]",1
result,6,1395,0.08881955940404941,19.0,"(10.0, 100.0]",1
options,7,1345,0.0856360626512161,20.0,"(10.0, 100.0]",1
Jenkins,7,1340,0.08531771297593277,21.0,"(10.0, 100.0]",1
p,1,1324,0.08429899401502611,22.0,"(10.0, 100.0]",1
File,4,1307,0.08321660511906277,23.0,"(10.0, 100.0]",1
equals,6,1250,0.0795874188208328,24.0,"(10.0, 100.0]",1
req,3,1215,0.07735897109384948,25.0,"(10.0, 100.0]",1
key,3,1211,0.07710429135362282,26.0,"(10.0, 100.0]",1
append,6,1203,0.07659493187316949,27.0,"(10.0, 100.0]",1
c,1,1195,0.07608557239271616,28.0,"(10.0, 100.0]",1
Integer,7,1125,0.07162867693874952,29.0,"(10.0, 100.0]",1
Map,3,1119,0.07124665732840953,30.0,"(10.0, 100.0]",1
size,4,1063,0.06768114096523621,31.0,"(10.0, 100.0]",1
protobuf,8,1018,0.06481599388768623,32.0,"(10.0, 100.0]",1
item,4,992,0.06316057557621291,33.0,"(10.0, 100.0]",1
context,7,991,0.06309690564115625,34.0,"(10.0, 100.0]",1
json,4,962,0.061250477524512924,35.0,"(10.0, 100.0]",1
Level,5,960,0.06112313765439959,36.0,"(10.0, 100.0]",1
toString,8,959,0.061059467719342925,37.0,"(10.0, 100.0]",2
put,3,932,0.05934037947281294,38.0,"(10.0, 100.0]",1
s,1,917,0.058385330446962945,39.0,"(10.0, 100.0]",1
Exception,9,904,0.05755762129122628,40.0,"(10.0, 100.0]",1
f,1,899,0.05723927161594295,41.0,"(10.0, 100.0]",1
t,1,885,0.05634789252514962,42.0,"(10.0, 100.0]",1
com,3,855,0.05443779447344964,43.0,"(10.0, 100.0]",1
google,6,851,0.05418311473322297,44.0,"(10.0, 100.0]",1
Throwable,9,849,0.05405577486310964,45.0,"(10.0, 100.0]",1
message,7,846,0.05386476505793964,46.0,"(10.0, 100.0]",1
out,3,843,0.05367375525276964,47.0,"(10.0, 100.0]",1
org,3,822,0.05233668661657965,48.0,"(10.0, 100.0]",1
Messages,8,822,0.05233668661657965,49.0,"(10.0, 100.0]",1
ArrayList,9,798,0.05080860817521966,50.0,"(10.0, 100.0]",2
listener,8,797,0.050744938240163,51.0,"(10.0, 100.0]",1
build,5,773,0.049216859798803005,52.0,"(10.0, 100.0]",1
x,1,771,0.04908951992868967,53.0,"(10.0, 100.0]",1
url,3,759,0.048325480708009676,54.0,"(10.0, 100.0]",1
id,2,759,0.048325480708009676,55.0,"(10.0, 100.0]",1
getClass,8,755,0.04807080096778301,56.0,"(10.0, 100.0]",2
rsp,3,752,0.04787979116261301,57.0,"(10.0, 100.0]",1
o,1,749,0.04768878135744301,58.0,"(10.0, 100.0]",1
logger,6,731,0.046542722526423025,59.0,"(10.0, 100.0]",1
timeout,7,729,0.04641538265630969,60.0,"(10.0, 100.0]",1
Logger,6,728,0.046351712721253026,61.0,"(10.0, 100.0]",1
method,6,719,0.04577868330574303,62.0,"(10.0, 100.0]",1
