name,length,count,frequency,rank,rank_bin
String,6,15705.0,1.0,1.0,"(0.0, 1.0]"
get,3,6629.0,0.4220948742438714,2.0,"(1.0, 10.0]"
e,1,4673.0,0.29754855141674624,3.0,"(1.0, 10.0]"
name,4,3864.0,0.24603629417383,4.0,"(1.0, 10.0]"
Object,6,3403.0,0.21668258516396052,5.0,"(1.0, 10.0]"
T,1,3300.0,0.21012416427889208,6.0,"(1.0, 10.0]"
IOException,11,3285.0,0.20916905444126074,7.0,"(1.0, 10.0]"
value,5,2895.0,0.18433619866284623,8.0,"(1.0, 10.0]"
List,4,2766.0,0.1761222540592168,9.0,"(1.0, 10.0]"
i,1,2683.0,0.1708373129576568,10.0,"(1.0, 10.0]"
type,4,2608.0,0.16606176376950016,11.0,"(10.0, 100.0]"
Class,5,2194.0,0.1397007322508755,12.0,"(10.0, 100.0]"
add,3,2180.0,0.13880929640241962,13.0,"(10.0, 100.0]"
log,3,1751.0,0.11149315504616364,14.0,"(10.0, 100.0]"
getName,7,1685.0,0.1072906717605858,15.0,"(10.0, 100.0]"
result,6,1657.0,0.105507800063674,16.0,"(10.0, 100.0]"
key,3,1620.0,0.10315186246418338,17.0,"(10.0, 100.0]"
set,3,1604.0,0.10213307863737663,18.0,"(10.0, 100.0]"
LOGGER,6,1542.0,0.09818529130850048,19.0,"(10.0, 100.0]"
length,6,1504.0,0.09576567971983445,20.0,"(10.0, 100.0]"
options,7,1446.0,0.09207258834765998,21.0,"(10.0, 100.0]"
r,1,1426.0,0.09079910856415155,22.0,"(10.0, 100.0]"
p,1,1344.0,0.08557784145176696,23.0,"(10.0, 100.0]"
Jenkins,7,1340.0,0.08532314549506527,24.0,"(10.0, 100.0]"
File,4,1307.0,0.08322190385227635,25.0,"(10.0, 100.0]"
equals,6,1271.0,0.08092964024196116,26.0,"(10.0, 100.0]"
size,4,1254.0,0.07984718242597899,27.0,"(10.0, 100.0]"
append,6,1233.0,0.07851002865329514,28.0,"(10.0, 100.0]"
req,3,1222.0,0.07780961477236549,29.0,"(10.0, 100.0]"
context,7,1213.0,0.07723654886978669,30.0,"(10.0, 100.0]"
c,1,1208.0,0.07691817892390958,31.0,"(10.0, 100.0]"
item,4,1184.0,0.07539000318369946,32.0,"(10.0, 100.0]"
Integer,7,1125.0,0.07163323782234957,33.0,"(10.0, 100.0]"
Map,3,1119.0,0.07125119388729705,34.0,"(10.0, 100.0]"
json,4,1117.0,0.0711238459089462,35.0,"(10.0, 100.0]"
build,5,1111.0,0.07074180197389367,36.0,"(10.0, 100.0]"
message,7,1086.0,0.06914995224450812,37.0,"(10.0, 100.0]"
id,2,1035.0,0.0659025787965616,38.0,"(10.0, 100.0]"
protobuf,8,1022.0,0.06507481693728112,39.0,"(10.0, 100.0]"
listener,8,1012.0,0.0644380770455269,40.0,"(10.0, 100.0]"
url,3,985.0,0.06271887933779051,41.0,"(10.0, 100.0]"
Level,5,960.0,0.061127029608404965,42.0,"(10.0, 100.0]"
toString,8,959.0,0.06106335561922954,43.0,"(10.0, 100.0]"
is,2,957.0,0.0609360076408787,44.0,"(10.0, 100.0]"
put,3,952.0,0.06061763769500159,45.0,"(10.0, 100.0]"
method,6,935.0,0.05953517987901942,46.0,"(10.0, 100.0]"
s,1,925.0,0.058898439987265204,47.0,"(10.0, 100.0]"
f,1,907.0,0.05775230818210761,48.0,"(10.0, 100.0]"
t,1,904.0,0.05756128621458134,49.0,"(10.0, 100.0]"
Exception,9,904.0,0.05756128621458134,50.0,"(10.0, 100.0]"
out,3,881.0,0.05609678446354664,51.0,"(10.0, 100.0]"
in,2,877.0,0.05584208850684495,52.0,"(10.0, 100.0]"
data,4,866.0,0.055141674625915314,53.0,"(10.0, 100.0]"
file,4,863.0,0.05495065265838905,54.0,"(10.0, 100.0]"
com,3,854.0,0.05437758675581025,55.0,"(10.0, 100.0]"
google,6,851.0,0.054186564788283986,56.0,"(10.0, 100.0]"
Throwable,9,849.0,0.05405921680993314,57.0,"(10.0, 100.0]"
node,4,846.0,0.053868194842406875,58.0,"(10.0, 100.0]"
timeout,7,836.0,0.05323145495065266,59.0,"(10.0, 100.0]"
handler,7,825.0,0.05253104106972302,60.0,"(10.0, 100.0]"
org,3,822.0,0.05234001910219675,61.0,"(10.0, 100.0]"
Messages,8,822.0,0.05234001910219675,62.0,"(10.0, 100.0]"
error,5,816.0,0.05195797516714422,63.0,"(10.0, 100.0]"
x,1,802.0,0.05106653931868831,64.0,"(10.0, 100.0]"
ArrayList,9,798.0,0.05081184336198663,65.0,"(10.0, 100.0]"
parent,6,781.0,0.04972938554600446,66.0,"(10.0, 100.0]"
logger,6,777.0,0.04947468958930277,67.0,"(10.0, 100.0]"
getClass,8,755.0,0.04807386182744349,68.0,"(10.0, 100.0]"
rsp,3,752.0,0.047882839859917224,69.0,"(10.0, 100.0]"
o,1,750.0,0.04775549188156638,70.0,"(10.0, 100.0]"
java,4,745.0,0.04743712193568927,71.0,"(10.0, 100.0]"
builder,7,743.0,0.04730977395733843,72.0,"(10.0, 100.0]"
Logger,6,728.0,0.0463546641197071,73.0,"(10.0, 100.0]"
path,4,727.0,0.04629099013053168,74.0,"(10.0, 100.0]"
configuration,13,726.0,0.04622731614135626,75.0,"(10.0, 100.0]"
request,7,714.0,0.045463228271251196,76.0,"(10.0, 100.0]"
run,3,698.0,0.044444444444444446,77.0,"(10.0, 100.0]"
Boolean,7,686.0,0.043680356574339385,78.0,"(10.0, 100.0]"
args,4,683.0,0.04348933460681312,79.0,"(10.0, 100.0]"
InterruptedException,20,678.0,0.043170964660936006,80.0,"(10.0, 100.0]"
